first,agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry
first,455,,19,20189,20188,8863,6637,7004298,96.54,2333.05,,"MULTILINESTRING ((-77.033085 38.895505,-77.031957 38.895521))"
first,455,,20,20188,20088,8858,6637,7004298,112.63,2445.68,,"MULTILINESTRING ((-77.031957 38.895521,-77.030717 38.895514))"
first,455,,21,20088,20103,8536,6637,7004298,96.54,2542.22,,"MULTILINESTRING ((-77.030717 38.895514,-77.029617 38.895503))"
first,455,,22,20103,20102,8588,6638,7004299,144.81,2687.03,,"MULTILINESTRING ((-77.029617 38.895503,-77.028099 38.895102))"
first,455,,23,20102,20526,8583,6639,7004300,96.54,2783.57,,"MULTILINESTRING ((-77.028099 38.895102,-77.026999 38.894792))"
first,455,,24,20526,20099,9952,6639,7004300,96.54,2880.11,,"MULTILINESTRING ((-77.026999 38.894792,-77.026008 38.894513))"
first,455,,25,20099,20096,8574,6639,7004300,193.08,3073.19,,"MULTILINESTRING ((-77.026008 38.894513,-77.023939 38.893942))"
first,455,,26,20096,20095,8561,6640,7004301,32.18,3105.37,,"MULTILINESTRING ((-77.023939 38.893942,-77.023513 38.893824))"
first,455,,27,20095,20093,8559,6640,7004301,144.81,3250.18,,"MULTILINESTRING ((-77.023513 38.893824,-77.021918 38.893382))"
first,455,,28,20093,20058,8552,6640,7004301,144.81,3394.99,,"MULTILINESTRING ((-77.021918 38.893382,-77.021907 38.892083))"
first,455,,29,20058,20066,8436,6640,7004301,176.99,3571.98,,"MULTILINESTRING ((-77.021907 38.892083,-77.0219 38.890551))"
first,455,,30,20066,21842,8464,6640,7004301,128.72,3700.7,,"MULTILINESTRING ((-77.0219 38.890551,-77.021899 38.889343))"
first,455,,31,21842,20002,14319,6640,7004301,193.08,3893.78,,"MULTILINESTRING ((-77.021899 38.889343,-77.021909 38.887561))"
first,455,,32,20002,20315,8241,6641,7004302,176.99,4070.77,,"MULTILINESTRING ((-77.021909 38.887561,-77.019896 38.887553))"
first,455,,33,20315,20316,9276,6641,7004302,96.54,4167.31,,"MULTILINESTRING ((-77.019896 38.887553,-77.018828 38.887562))"
first,455,,34,20316,20318,9278,6642,7004303,112.63,4279.94,,"MULTILINESTRING ((-77.018828 38.887562,-77.017539 38.887562))"
