agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry,old_agent_id
449,,9,21336,21335,12715,6536,7004197,0.16,1.74,,"MULTILINESTRING ((-76.970169 38.866351,-76.970927 38.868622))",216
449,,10,21335,21736,12714,6536,7004197,0.15,1.89,,"MULTILINESTRING ((-76.970927 38.868622,-76.970936 38.870734))",216
449,,11,21736,21333,13985,6540,7004201,0.18,2.07,,"MULTILINESTRING ((-76.970936 38.870734,-76.970939 38.873282))",216
449,,12,21333,21299,12705,6539,7004200,0.01,2.08,,"MULTILINESTRING ((-76.970939 38.873282,-76.97076 38.873391))",216
449,,13,21299,20967,12574,6540,7004201,0.19,2.27,,"MULTILINESTRING ((-76.97076 38.873391,-76.973717 38.874751))",216
449,,14,20967,20969,11455,6540,7004201,0.15,2.42,,"MULTILINESTRING ((-76.973717 38.874751,-76.976136 38.875913))",216
449,,15,20969,21417,11461,6541,7004202,0.22,2.64,,"MULTILINESTRING ((-76.976136 38.875913,-76.979498 38.877602))",216
449,,16,21417,21416,12986,6541,7004202,0.01,2.65,,"MULTILINESTRING ((-76.979498 38.877602,-76.979698 38.877663))",216
449,,17,21416,21297,12982,6541,7004202,0.13,2.78,,"MULTILINESTRING ((-76.979698 38.877663,-76.981658 38.878633))",216
449,,18,21297,21657,12569,6541,7004202,0.12,2.9,,"MULTILINESTRING ((-76.981658 38.878633,-76.983639 38.879432))",216
449,,19,21657,21248,13739,6541,7004202,0.1,3,,"MULTILINESTRING ((-76.983639 38.879432,-76.985209 38.880072))",216
449,,20,21248,21249,12408,6542,7004203,0.19,3.19,,"MULTILINESTRING ((-76.985209 38.880072,-76.988307 38.881352))",216
449,,21,21249,21250,12414,6543,7004204,0.2,3.39,,"MULTILINESTRING ((-76.988307 38.881352,-76.991517 38.882662))",216
449,,22,21250,21255,12417,6544,7004205,0.21,3.6,,"MULTILINESTRING ((-76.991517 38.882662,-76.994967 38.884081))",216
449,,23,21255,21259,12436,6544,7004205,0.07,3.67,,"MULTILINESTRING ((-76.994967 38.884081,-76.996158 38.884573))",216
449,,24,21259,21263,12447,6545,7004206,0.14,3.81,,"MULTILINESTRING ((-76.996158 38.884573,-76.998438 38.885493))",216
450,,1,20196,20197,8885,6548,7004209,0.07,0.07,,"MULTILINESTRING ((-77.004579 38.887623,-77.005907 38.887601))",216
450,,2,20197,20199,8887,6549,7004210,0.12,0.19,,"MULTILINESTRING ((-77.005907 38.887601,-77.008127 38.887582))",216
450,,3,20199,20582,8896,6550,7004211,0.32,0.51,,"MULTILINESTRING ((-77.008127 38.887582,-77.0141 38.887551))",216
450,,4,20582,20325,10119,6550,7004211,0.06,0.57,,"MULTILINESTRING ((-77.0141 38.887551,-77.015199 38.887551))",216
450,,5,20325,20323,9307,6551,7004212,0.08,0.65,,"MULTILINESTRING ((-77.015199 38.887551,-77.016647 38.887551))",216
450,,6,20323,20318,9301,6551,7004212,0.05,0.7,,"MULTILINESTRING ((-77.016647 38.887551,-77.017539 38.887562))",216
450,,7,20318,20065,9284,6552,7004213,0.21,0.91,,"MULTILINESTRING ((-77.017539 38.887562,-77.01754 38.890612))",216
450,,8,20065,20055,8460,6552,7004213,0.11,1.02,,"MULTILINESTRING ((-77.01754 38.890612,-77.017537 38.892161))",216
450,,9,20055,20090,8428,6553,7004214,0.06,1.08,,"MULTILINESTRING ((-77.017537 38.892161,-77.018517 38.892433))",216
450,,10,20090,20057,8542,6553,7004214,0.08,1.16,,"MULTILINESTRING ((-77.018517 38.892433,-77.019908 38.892092))",216
450,,11,20057,20058,8431,6554,7004215,0.11,1.27,,"MULTILINESTRING ((-77.019908 38.892092,-77.021907 38.892083))",216
451,,1,20095,20093,8559,6557,7004218,0.09,0.09,,"MULTILINESTRING ((-77.023513 38.893824,-77.021918 38.893382))",217
451,,2,20093,20058,8552,6557,7004218,0.09,0.18,,"MULTILINESTRING ((-77.021918 38.893382,-77.021907 38.892083))",217
451,,3,20058,20066,8436,6557,7004218,0.11,0.29,,"MULTILINESTRING ((-77.021907 38.892083,-77.0219 38.890551))",217
451,,4,20066,21842,8464,6557,7004218,0.08,0.37,,"MULTILINESTRING ((-77.0219 38.890551,-77.021899 38.889343))",217
451,,5,21842,20002,14319,6557,7004218,0.12,0.49,,"MULTILINESTRING ((-77.021899 38.889343,-77.021909 38.887561))",217
451,,6,20002,20315,8241,6558,7004219,0.11,0.6,,"MULTILINESTRING ((-77.021909 38.887561,-77.019896 38.887553))",217
451,,7,20315,20316,9276,6558,7004219,0.06,0.66,,"MULTILINESTRING ((-77.019896 38.887553,-77.018828 38.887562))",217
451,,8,20316,20318,9278,6559,7004220,0.07,0.73,,"MULTILINESTRING ((-77.018828 38.887562,-77.017539 38.887562))",217
451,,9,20318,20323,9286,6559,7004220,0.05,0.78,,"MULTILINESTRING ((-77.017539 38.887562,-77.016647 38.887551))",217
451,,10,20323,20325,9302,6559,7004220,0.08,0.86,,"MULTILINESTRING ((-77.016647 38.887551,-77.015199 38.887551))",217
451,,11,20325,20582,9308,6560,7004221,0.06,0.92,,"MULTILINESTRING ((-77.015199 38.887551,-77.0141 38.887551))",217
451,,12,20582,20199,10117,6561,7004222,0.32,1.24,,"MULTILINESTRING ((-77.0141 38.887551,-77.008127 38.887582))",217
451,,13,20199,20197,8895,6562,7004223,0.12,1.36,,"MULTILINESTRING ((-77.008127 38.887582,-77.005907 38.887601))",217
451,,14,20197,20196,8886,6563,7004224,0.07,1.43,,"MULTILINESTRING ((-77.005907 38.887601,-77.004579 38.887623))",217
451,,15,20196,20194,8884,6563,7004224,0.06,1.49,,"MULTILINESTRING ((-77.004579 38.887623,-77.003539 38.887593))",217
451,,16,20194,20198,8878,6563,7004224,0.09,1.58,,"MULTILINESTRING ((-77.003539 38.887593,-77.002028 38.886943))",217
451,,17,20198,20213,8892,6563,7004224,0.09,1.67,,"MULTILINESTRING ((-77.002028 38.886943,-77.000567 38.886352))",217
451,,18,20213,20212,8943,6564,7004225,0.06,1.73,,"MULTILINESTRING ((-77.000567 38.886352,-76.999646 38.885982))",217
451,,19,20212,21263,8940,6565,7004226,0.07,1.8,,"MULTILINESTRING ((-76.999646 38.885982,-76.998438 38.885493))",217
451,,20,21263,21259,12455,6566,7004227,0.14,1.94,,"MULTILINESTRING ((-76.998438 38.885493,-76.996158 38.884573))",217
451,,21,21259,21255,12446,6566,7004227,0.07,2.01,,"MULTILINESTRING ((-76.996158 38.884573,-76.994967 38.884081))",217
451,,22,21255,21250,12435,6567,7004228,0.21,2.22,,"MULTILINESTRING ((-76.994967 38.884081,-76.991517 38.882662))",217
