first,agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry
first,85,,2,32181,32076,28091,1242,2000556,0.06,0.18,,"MULTILINESTRING ((-77.050399 38.799632,-77.051417 38.799772))"
first,86,,1,5097,34022,8144,1246,2000560,0.21,0.21,,"MULTILINESTRING ((-77.130782 38.800671,-77.134249 38.799151))"
first,86,,2,34022,32320,28698,1246,2000560,0.26,0.47,,"MULTILINESTRING ((-77.134249 38.799151,-77.133737 38.802873))"
first,86,,3,32320,32159,28410,1246,2000560,0.1,0.57,,"MULTILINESTRING ((-77.133737 38.802873,-77.133859 38.804254))"
first,86,,4,32159,1547,28020,1248,2000562,0.33,0.9,,"MULTILINESTRING ((-77.133859 38.804254,-77.137709 38.80803))"
first,86,,5,1547,32148,3642,1255,2000569,0.47,1.37,,"MULTILINESTRING ((-77.137709 38.80803,-77.133899 38.814133))"
first,86,,6,32148,32142,27983,1256,2000570,0.04,1.41,,"MULTILINESTRING ((-77.133899 38.814133,-77.134646 38.814234))"
first,86,,7,32142,32240,27959,1257,2000571,0.35,1.76,,"MULTILINESTRING ((-77.134646 38.814234,-77.140067 38.816893))"
first,86,,8,32240,34019,28254,1257,2000571,0.06,1.82,,"MULTILINESTRING ((-77.140067 38.816893,-77.140938 38.817472))"
first,86,,9,34019,34046,28692,1257,2000571,0.14,1.96,,"MULTILINESTRING ((-77.140938 38.817472,-77.143179 38.818403))"
first,86,,10,34046,34047,28763,1258,2000572,0.14,2.1,,"MULTILINESTRING ((-77.143179 38.818403,-77.14258 38.820361))"
first,86,,11,34047,35771,28768,1259,2000573,0.18,2.28,,"MULTILINESTRING ((-77.14258 38.820361,-77.139557 38.819873))"
first,86,,12,35771,34018,33010,1260,2000574,0.17,2.45,,"MULTILINESTRING ((-77.139557 38.819873,-77.136948 38.821172))"
first,86,,13,34018,32188,28689,1262,2000576,0.15,2.6,,"MULTILINESTRING ((-77.136948 38.821172,-77.136049 38.819133))"
first,87,,1,32155,32182,28006,1265,2000579,0.26,0.26,,"MULTILINESTRING ((-77.133307 38.820432,-77.134557 38.822853))"
first,87,,2,32182,32227,28093,1266,2000580,0.19,0.45,,"MULTILINESTRING ((-77.134557 38.822853,-77.132227 38.824893))"
first,87,,3,32227,32140,28224,1267,2000581,0.08,0.53,,"MULTILINESTRING ((-77.132227 38.824893,-77.130989 38.825553))"
first,87,,4,32140,32139,27952,1267,2000581,0.1,0.63,,"MULTILINESTRING ((-77.130989 38.825553,-77.129537 38.826351))"
first,87,,5,32139,32191,27950,1269,2000583,0.36,0.99,,"MULTILINESTRING ((-77.129537 38.826351,-77.12497 38.829923))"
first,87,,6,32191,32138,28120,1270,2000584,0.13,1.12,,"MULTILINESTRING ((-77.12497 38.829923,-77.124116 38.831752))"
first,87,,7,32138,32295,27947,1271,2000585,0.14,1.26,,"MULTILINESTRING ((-77.124116 38.831752,-77.122378 38.833133))"
first,87,,8,32295,32297,28334,1272,2000586,0.15,1.41,,"MULTILINESTRING ((-77.122378 38.833133,-77.119798 38.833723))"
first,87,,9,32297,32195,28340,1272,2000586,0.07,1.48,,"MULTILINESTRING ((-77.119798 38.833723,-77.118437 38.833884))"
